"Salzwedel" (52.8500, 11.1500) 23655
"Calw" (48.7144, 8.7375) 23590
"Korbach" (51.2719, 8.8731) 23581
"Starnberg" (47.9972, 11.3406) 23498
"Freudenstadt" (48.4633, 8.4111) 23442
"Mosbach" (49.3500, 9.1333) 23398
"Husum" (54.4769, 9.0511) 23189
"Westerstede" (53.2500, 7.9167) 22778
"Burg" (52.2725, 11.8550) 22478
"Weilheim" (47.8333, 11.1333) 22477
"Bad Kissingen" (50.2000, 10.0667) 22444
"Stadthagen" (52.3247, 9.2069) 22247
"Apolda" (51.0247, 11.5139) 22012
"Heide" (54.1961, 9.0933) 21852
"Osterode" (51.7286, 10.2522) 21731
"Kitzingen" (49.7333, 10.1667) 21704
"Sonthofen" (47.5142, 10.2817) 21541
"Sondershausen" (51.3667, 10.8667) 21513
"Aichach" (48.4500, 11.1333) 21434
"Germersheim" (49.2167, 8.3667) 20779
"Gunzburg" (48.4525, 10.2711) 20707
"Luckenwalde" (52.0831, 13.1667) 20522
"Traunstein" (47.8683, 12.6433) 20520
"Muhldorf" (48.2456, 12.5228) 20323
"Wittmund" (53.5747, 7.7808) 20321
"Bad Salzungen" (50.8117, 10.2333) 20244
"Lichtenfels" (50.1333, 11.0333) 20133
"Greiz" (50.6547, 12.1997) 20103
"Donauworth" (48.7184, 10.7770) 20080
"Torgau" (51.5603, 13.0056) 20065
"Holzminden" (51.8297, 9.4483) 19998
"Dingolfing" (48.6333, 12.5000) 19839
"Annaberg-Buchholz" (50.5800, 13.0022) 19769
"Eschwege" (51.1881, 10.0528) 19606
"Haldensleben" (52.2833, 11.4167) 19247
"Sommerda" (51.1617, 11.1169) 19034
"Prenzlau" (53.3167, 13.8667) 19024
"Wittlich" (49.9869, 6.8897) 18995
"Dillingen" (48.5667, 10.4667) 18978
"Bad Tolz" (47.7603, 11.5567) 18802
"Marktoberdorf" (47.7667, 10.6167) 18539
"Alzey" (49.7517, 8.1161) 18535
"Bad Durkheim" (49.4618, 8.1724) 18476
"Weißenburg" (49.0306, 10.9719) 18464
"Bad Reichenhall" (47.7247, 12.8769) 18278
"Forst (Lausitz)" (51.7333, 14.6333) 18164
"Parchim" (53.4167, 11.8333) 18037
"Sigmaringen" (48.0867, 9.2164) 17278
"Bad Segeberg" (53.9356, 10.3089) 17267
"Heilbad Heiligenstadt" (51.3775, 10.1344) 17105
"Eutin" (54.1378, 10.6181) 16971
"Cham" (49.2183, 12.6658) 16907
"Diepholz" (52.6072, 8.3711) 16882
"Kronach" (50.2411, 11.3281) 16874
"Kelheim" (48.9167, 11.8667) 16714
"Bad Neustadt" (50.3219, 10.2161) 15411
"Kunzelsau" (49.2833, 9.6833) 15391
"Mindelheim" (48.0333, 10.4667) 15002
"Brake" (53.3333, 8.4833) 14965
"Bitburg" (49.9747, 6.5256) 14904
"Ratzeburg" (53.7017, 10.7567) 14652
"Jever" (53.5744, 7.9008) 14301
"Lubben (Spreewald)" (51.9500, 13.9000) 14024
"Montabaur" (50.4375, 7.8258) 13691
"Erbach" (49.6569, 8.9931) 13666
"Lauterbach" (50.6378, 9.3944) 13664
"Haßfurt" (50.0353, 10.5123) 13609
"Eichstatt" (48.8919, 11.1839) 13525
"Tauberbischofsheim" (49.6225, 9.6628) 13231
"Neustadt" (49.5800, 10.6089) 13121
"Pfarrkirchen" (48.4419, 12.9443) 12677
"Ebersberg" (48.0833, 11.9667) 12239
